Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-09-25,DAN,Main Steel,"Elk Grove Village, IL",Shawn,C209110,,"SSH 201LN #80 1/4HARD 4228 REF .075 x 48"" x 96""","32,940lbs",2024-09-26,Essence - Berkut Transportation ,"Windsor, ON","$2,050.00",2024-09-30,Y,Y,Y
2024-09-23,MD,Amerinox,"Camden, NJ",Rick,C209118,,"304L , 3/16"" X 48 X 120 / 242","20,000lbs",2024-09-26,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-30,Y,Y,Y
2024-09-25,MD,Spectrum Metals,"Warminster, PA",Patrick,P215577,,"SSH 304L 2B NO PAPER 22ga x 13-3/8"" ","3,610lbs",,,,,,Y,Y,Y
2024-09-13,MD,Amerinox,"Camden, NJ",Rick,C209113,,"304L HRAP, 3/16"" X 60 X 120","9,965LBS",2024-09-27,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-30,Y,Y,Y
2024-09-11,MD,Amerinox,"Camden, NJ",Rick,C209102, ,"316L, 7ga x 48 x 230 SPV 2 sides","12,805lbs",,,,,,Y,Y,Y
2024-09-12,UT,Amerinox,"Camden, NJ",Rick,C209106, ,"SPL 304L HARP 4228 REF 3/16"" x 60"" x 120""","13,917lbs",,,,,,Y,Y,Y
2024-09-02,AA,Polished Metals,"Hillside, NJ",Mark,P215544,,"SSH 304 X 6 4228 REF 16ga/22ga x 48"" x 96"" / 120""","2,599lbs",,,,,,Y,Y,Y
2024-09-26,PG,Main Steel,"Harmony, PA",Mark,C209108,,"SSH 304L 2B NO PAPER .063 x 60"" x 420'/ 380'","21,980lbs",2024-09-30,Essence,"Lansdowne, ON","$1,350.00",2024-10-09,Y,Y,Y
2024-09-30,DAN,Main Steel,"Elk Grove Village, IL",Shawn,C209066,,"SSH 201LN #80 1/4 HARD PAPER .075 x 39.438"" x 181""","25,530lbs",2024-10-01,Essence - Sodey Trucking,"Sarnia,ON","$1,800.00",2024-10-09,Y,Y,Y
2024-09-27,PG,Rigidized Metals,"Buffalo, NY",Ronald,P215612  ,,"SSH 304 2B 6WL PAPER 16ga x 48"" x 120""",204lbs,2024-10-01,DVL,-,$650.00,,Y,Y,Y
2024-09-26,UT,Amerinox,"Camden, NJ",Rick,C209122,,"SPL 304L HRAP NO PAPER 1/4"" x 48"" x 96""","22,375lbs",2024-10-02,Formule Transit,"Lacolle, QC","$1,400.00",2024-10-15,Y,Y,Y
2024-09-26,UT,Amerinox,"Camden, NJ",Rick,C209123,,"SPL 316L HRAP NO PAPER 3/16"" x 60"" x 120""/ 144""","16,075lbs",,,,,,Y,Y,Y
2024-09-25,IX,Kingmaker,"Somerset, NJ",Kristina,P215642,,"STU 304L 1.25"" x .049"" x 20'",700lbs,,,,,,Y,Y,Y
2024-10-01,UT,Rolled Alloys,"Fairfield, OH",Jaime,P215654,,"SSH 410 2D PAPER 11ga x 36"" x 120""",484lbs,2024-10-02,DVL,-,$695.00,2024-10-08,Y,Y,Y
2024-10-01,MD,Leveltek,"Benwood, WV",Kelly,C209071,,"SSH 201LN 1/4 HARD PAPER 7ga x 48"" x 96""/ 120""","36,100lbs",2024-10-02,Essence - Toiture J.M. Rodrigue & Fils,"Lansdowne, ON","$1,850.00",2024-10-09,Y,Y,Y
